Time,IMF B_x,IMF B_y,IMF B_z,IMF B_tot,n,T,V_x,V_y,V_z,V_tot,P_dyn
2008-05-28T00:19:19.220Z,3.6643350000000003,1.10425,1.1992465,4.010599858186709,9.19332,12683.85208452174,-329.009,-24.037,-21.7597,330.60275860024217,3.3560760241276686
2008-05-28T00:20:53.994Z,3.7334899999999998,1.1047600000000002,1.43263,4.148719194474362,8.88067,12404.299693543484,-327.643,-22.8196,-20.0645,329.04901421127215,3.211540381610387
2008-05-28T00:22:34.989Z,3.7166,1.439065,0.9746165,4.1029137154341,10.5319,15631.483822954113,-337.65,-49.8707,-30.8306,342.70269201576167,4.131314197843737
2008-05-28T00:24:11.150Z,3.668705,1.6951800000000001,0.8057515,4.120954633234543,9.77569,15403.155489613533,-330.972,-36.7062,-23.5511,333.832988504207,3.6387514247915793
2008-05-28T00:25:47.488Z,3.712395,1.6734,1.61098,4.379200926701697,10.5438,16571.07861754348,-328.963,-27.2723,-25.9691,331.11150368282284,3.860932111678396
2008-05-28T00:27:26.814Z,3.719965,1.816295,1.72333,4.484075536512515,10.3353,15707.966574521746,-330.095,-28.548,-22.9661,332.1221749269537,3.8077225910761805
2008-05-28T00:29:07.702Z,3.90504,1.5301049999999998,2.18706,4.730094095916591,9.28976,14465.362279729476,-334.107,-27.9595,-29.8888,336.60445845931696,3.515529035019733
2008-05-28T00:30:42.511Z,3.869595,1.599015,2.409165,4.830599386357246,9.28092,14193.943902084542,-332.149,-23.5653,-25.8988,333.98956481682177,3.4578272441188393
2008-05-28T00:32:20.343Z,3.775075,1.0412460000000001,0.8059075,3.9981084761043255,9.22916,14541.084817446863,-330.293,-23.4438,-25.7717,332.1253650782036,3.4002647369883787
2008-05-28T00:33:53.588Z,3.7741949999999997,0.316069,-0.723543,3.85589963350124,9.97577,17077.542244403387,-327.577,-22.8792,-24.3276,329.2749319996893,3.6125197644194698
2008-05-28T00:35:37.533Z,3.75981,0.8635105000000001,0.028531655,3.8578019227336293,9.10569,12819.834056347832,-329.432,-25.0038,-23.1967,331.1928736089139,3.335963531613623
2008-05-28T00:37:13.802Z,3.75806,0.671353,0.1059425,3.8190252195442818,9.53769,14983.862750260872,-329.426,-25.1046,-26.7672,331.46374373828576,3.4999491276927
2008-05-28T00:38:51.633Z,4.153275,0.2665085,0.432508,4.184230296752468,9.78201,15206.253836673919,-333.854,-25.4736,-25.8161,335.81820771389096,3.6845380697332346
2008-05-28T00:40:29.498Z,3.8988199999999997,0.8539509999999999,1.004601,4.115732361561184,10.5611,17234.269546780197,-332.207,-24.4899,-23.8372,333.96026433521996,3.934098360134082
2008-05-28T00:42:07.331Z,3.81554,1.61615,0.9163060000000001,4.243807606352578,10.6053,19133.56905006522,-327.972,-17.6654,-17.4616,328.9112442828916,3.8320120531252617
2008-05-28T00:43:45.161Z,3.9477450000000003,1.25184,0.36804800000000004,4.157794283142085,11.1856,17042.70062295411,-330.268,-19.6464,-18.6713,331.378258642069,4.102548977323456
2008-05-28T00:45:22.993Z,4.037795,0.919187,0.2858705,4.150953522477004,11.2504,16412.52100484783,-329.651,-20.7955,-19.213,330.8645855788286,4.113533131439295
2008-05-28T00:47:00.825Z,3.85303,0.6734705,0.57621,3.9536591481019516,11.2232,16445.572432686,-330.113,-19.1502,-18.8789,331.20648513314165,4.112073158742529
2008-05-28T00:48:38.621Z,3.63058,1.554335,2.114255,4.479636439896658,10.094,16107.363763630441,-328.812,-28.7326,-19.7232,330.65374376377474,3.68601124483028
2008-05-28T00:50:11.866Z,3.667865,1.521185,1.387025,4.206076058878988,11.957,18951.79593761353,-330.022,-33.1261,-16.9818,332.1148002068712,4.404992319356344
2008-05-28T00:51:57.341Z,3.783325,1.609915,1.2116850000000001,4.286438486911366,11.7591,16072.721596251215,-329.345,-29.606,-20.0113,331.2779744997998,4.310281900233778
2008-05-28T00:53:32.115Z,3.8565500000000004,1.568115,0.030700000000000005,4.163280562936517,12.3956,17878.187269021742,-326.386,-27.5167,-22.1601,328.29264354672955,4.46206941598765
2008-05-28T00:55:09.947Z,4.198980000000001,1.89148,-1.5763745,4.86765715668742,10.3028,15625.608265584544,-330.363,-28.964,-17.3036,332.0813750241949,3.794816439851794
2008-05-28T00:56:47.777Z,3.91122,1.8154,-1.28759,4.50013411539034,10.8944,16412.358272222224,-329.411,-27.8356,-17.7489,331.06109858992795,3.988100439550849
2008-05-28T00:58:25.609Z,4.259205,2.425805,-1.7139199999999999,5.192579214268185,10.7417,17404.781532577297,-330.32,-28.0531,-16.0999,331.89981259352953,3.9521507346385647
2008-05-28T01:00:03.440Z,4.56629,2.548315,-2.611375,5.845014379276582,10.9164,18726.53832161353,-332.052,-30.1245,-19.4111,333.9802494272079,4.06693730071023
2008-05-28T01:01:41.272Z,4.43881,2.804645,-3.081935,6.088299527483023,10.6927,17016.17850585266,-333.722,-29.6711,-20.4008,335.65896397958744,4.023744059954924
2008-05-28T01:03:19.103Z,3.85797,0.14871700000000004,-1.22154595,4.04947203656852,10.858,16295.562337021744,-332.749,-29.0798,-21.6512,334.7182490251764,4.063077311588843
2008-05-28T01:04:56.935Z,3.82217,0.9301735,-2.031,4.427094673598279,11.4516,16483.2231187802,-333.721,-30.8684,-19.3434,335.70333790881494,4.310463338142666
